column,dtype,rows,missing_count,missing_rate,unique_count,mean,std,min,max
row_id,object,1475092,0,0.0,1475092.0,,,,
season,int64,1475092,0,0.0,6.0,2021.52886870785,1.705827073972089,2019.0,2024.0
game_month,int64,1475092,0,0.0,8.0,6.668616601540785,1.9279073760257486,3.0,10.0
game_dayofweek,int64,1475092,0,0.0,7.0,3.508962830792927,1.7322945350961068,0.0,6.0
inning,int64,1475092,0,0.0,13.0,4.965960767192826,2.6054035292353794,1.0,13.0
top_bottom,object,1475092,0,0.0,2.0,,,,
game_type,object,1475092,0,0.0,2.0,,,,
balls_before,int64,1475092,0,0.0,4.0,0.8984680277569128,0.9697419127931136,0.0,3.0
strikes_before,int64,1475092,0,0.0,3.0,0.8718710426197146,0.8246052956879026,0.0,2.0
outs_before,int64,1475092,0,0.0,3.0,0.9814316666350302,0.816727123866921,0.0,2.0
run_top_before,int64,1475092,0,0.0,,2.557856052368259,2.9142318871593313,0.0,30.0
run_bot_before,int64,1475092,0,0.0,,2.3570272227088207,2.7663647963131335,0.0,26.0
run_total_before,int64,1475092,0,0.0,,4.91488327507708,4.5006252603259185,0.0,37.0
score_diff_home,int64,1475092,0,0.0,,-0.20082882965943818,3.469209653934156,-27.0,20.0
score_diff_pitcher_team,int64,1475092,0,0.0,,0.060106759442800854,3.474497811790156,-27.0,27.0
runner_on_1b,int64,1475092,0,0.0,2.0,0.35035238480040565,0.47708043930183314,0.0,1.0
runner_on_2b,int64,1475092,0,0.0,2.0,0.21677834331689141,0.41205049240036484,0.0,1.0
runner_on_3b,int64,1475092,0,0.0,2.0,0.11162829165909652,0.3149086905570679,0.0,1.0
num_runners_on,int64,1475092,0,0.0,4.0,0.6787590197763936,0.8336830685100531,0.0,3.0
base_state,object,1475092,0,0.0,8.0,,,,
home_win_expectancy,float64,1475092,0,0.0,,50.26953457818224,30.268835776272056,0.0,100.0
away_win_expectancy,float64,1475092,0,0.0,,49.731873130625075,30.268591524399767,0.0,100.0
li,float64,1475092,0,0.0,,0.981841458024313,0.8923983899035403,0.0,10.83
pitcher_id,int64,1475092,0,0.0,792.0,23265.943734356908,800.363589115203,20700.0,24633.0
batter_id,int64,1475092,0,0.0,830.0,22929.142195876597,828.9670769354944,20889.0,24632.0
pitcher_hand,int64,1475092,0,0.0,2.0,1.7414730742218112,0.43782517558688144,1.0,2.0
batter_hand,int64,1475092,0,0.0,2.0,1.5283365376532447,0.4991965640612423,1.0,2.0
pitcher_team_id,int64,1475092,0,0.0,13.0,16.336361393052094,2.9347641394314925,12.0,25.0
batter_team_id,int64,1475092,0,0.0,13.0,16.339119865066042,2.94053784969769,12.0,25.0
asof_pitcher_n,int64,1475092,0,0.0,,2661.3230401900355,2690.0125733697887,0.0,15449.0
asof_pitcher_success_rate,float64,1475092,792,0.0005369156635653912,,0.5352282202778268,0.06175732628213956,0.0,1.0
asof_pitcher_reverse_rate,float64,1475092,792,0.0005369156635653912,,0.21520992382300075,0.06066783555839904,0.0,1.0
asof_pitcher_middle_rate,float64,1475092,792,0.0005369156635653912,,0.1418648379080716,0.031768584115821036,0.0,1.0
asof_pitcher_ball_rate,float64,1475092,792,0.0005369156635653912,,0.37224288439137226,0.04183632863140355,0.0,1.0
asof_pitcher_strike_rate,float64,1475092,792,0.0005369156635653912,,0.4418756892231568,0.039616994392204535,0.0,1.0
asof_pitcher_prev1_game_success_rate,float64,1475092,29185,0.019785206617621138,,0.5233543069768664,0.13588596746628218,0.0,1.0
asof_pitcher_prev3_game_success_rate,float64,1475092,29185,0.019785206617621138,,0.523847505939317,0.09172288950243207,0.0,1.0
asof_pitcher_prev5_game_success_rate,float64,1475092,29185,0.019785206617621138,,0.5244111593601802,0.08078823140308332,0.0,1.0
asof_pitcher_prev1_game_middle_rate,float64,1475092,29185,0.019785206617621138,,0.15060582464190297,0.09241721065003657,0.0,1.0
asof_pitcher_prev3_game_middle_rate,float64,1475092,29185,0.019785206617621138,,0.14939043487541037,0.05620126862373762,0.0,1.0
asof_pitcher_prev5_game_middle_rate,float64,1475092,29185,0.019785206617621138,,0.14889194615302367,0.04755480497185086,0.0,1.0
asof_batter_n,int64,1475092,0,0.0,,3270.8473966369556,3049.0419219753867,0.0,13927.0
asof_batter_success_rate,float64,1475092,830,0.0005626767686354478,,0.5397311017763464,0.051608333235122816,0.0,1.0
asof_batter_middle_rate,float64,1475092,830,0.0005626767686354478,,0.14050634325036526,0.027179997748147052,0.0,1.0
asof_pitcher_pitchmix_n,int64,1475092,0,0.0,,2661.3230401900355,2690.0125733697887,0.0,15449.0
asof_pitcher_fastball_rate,float64,1475092,792,0.0005369156635653912,,0.5543834851488844,0.0991177501899312,0.0,1.0
asof_pitcher_breaking_rate,float64,1475092,792,0.0005369156635653912,,0.28927426308661736,0.1083220590018154,0.0,1.0
asof_pitcher_offspeed_rate,float64,1475092,792,0.0005369156635653912,,0.15634225000241336,0.1084719247460279,0.0,1.0
control_success,int64,1475092,0,0.0,2.0,0.5237659752747625,0.4994350283244082,0.0,1.0
