feature,n_complete,pearson_with_target,abs_correlation
asof_pitcher_success_rate,1474300,0.08427136264423685,0.08427136264423685
asof_pitcher_prev5_game_success_rate,1445907,0.08156931730369671,0.08156931730369671
asof_pitcher_reverse_rate,1474300,-0.07949308275658874,0.07949308275658874
asof_pitcher_prev3_game_success_rate,1445907,0.07777597856830874,0.07777597856830874
asof_pitcher_prev1_game_success_rate,1445907,0.06168866736571272,0.06168866736571272
asof_batter_success_rate,1474262,0.058946221083572815,0.058946221083572815
season,1475092,-0.04827196840216624,0.04827196840216624
asof_batter_n,1475092,-0.036275753040485324,0.036275753040485324
asof_pitcher_middle_rate,1474300,-0.03607458477989853,0.03607458477989853
asof_batter_middle_rate,1474262,-0.03382127251508553,0.03382127251508553
asof_pitcher_prev5_game_middle_rate,1445907,-0.03195211988661384,0.03195211988661384
asof_pitcher_prev3_game_middle_rate,1445907,-0.02829568069577423,0.02829568069577423
asof_pitcher_prev1_game_middle_rate,1445907,-0.01945981475687615,0.01945981475687615
asof_pitcher_ball_rate,1474300,-0.01773450234901709,0.01773450234901709
asof_pitcher_offspeed_rate,1474300,0.01379841240160569,0.01379841240160569
asof_pitcher_breaking_rate,1474300,-0.013617981607427639,0.013617981607427639
inning,1475092,-0.013009672716652475,0.013009672716652475
pitcher_id,1475092,-0.012497209447344497,0.012497209447344497
balls_before,1475092,-0.01205745391015198,0.01205745391015198
asof_pitcher_n,1475092,-0.011613273785611125,0.011613273785611125
asof_pitcher_pitchmix_n,1475092,-0.011613273785611125,0.011613273785611125
run_total_before,1475092,-0.011327308762273499,0.011327308762273499
pitcher_team_id,1475092,-0.010710455216387265,0.010710455216387265
game_month,1475092,-0.010646382289111364,0.010646382289111364
run_bot_before,1475092,-0.009761119819077678,0.009761119819077678
pitcher_hand,1475092,0.00834806746263505,0.00834806746263505
run_top_before,1475092,-0.008227606668006166,0.008227606668006166
score_diff_pitcher_team,1475092,0.005775407500153985,0.005775407500153985
batter_hand,1475092,0.005347465117791994,0.005347465117791994
strikes_before,1475092,-0.005076872156797266,0.005076872156797266
li,1475092,0.004322662077267554,0.004322662077267554
asof_pitcher_strike_rate,1474300,0.00392975266315151,0.00392975266315151
outs_before,1475092,0.0038773111300915886,0.0038773111300915886
batter_id,1475092,-0.0033821399034746494,0.0033821399034746494
batter_team_id,1475092,-0.0024825513464051415,0.0024825513464051415
runner_on_2b,1475092,-0.001701785394046115,0.001701785394046115
runner_on_3b,1475092,0.0013131502426489661,0.0013131502426489661
score_diff_home,1475092,-0.0008721480783818972,0.0008721480783818972
game_dayofweek,1475092,0.0007066199382718205,0.0007066199382718205
away_win_expectancy,1475092,-0.0004580997924056118,0.0004580997924056118
home_win_expectancy,1475092,0.00045775079317821873,0.00045775079317821873
num_runners_on,1475092,-0.0004074589803906673,0.0004074589803906673
asof_pitcher_fastball_rate,1474300,-0.00021805270751070746,0.00021805270751070746
runner_on_1b,1475092,-0.00010898071398816323,0.00010898071398816323
