season,feature,count,mean,std
2019,asof_batter_n,237413,720.7568835741935,581.6330002144819
2020,asof_batter_n,244087,1909.2948579809658,1208.4316417466139
2021,asof_batter_n,247088,2981.343120669559,1926.5541175892997
2022,asof_batter_n,247472,3827.086636063878,2713.3679308335813
2023,asof_batter_n,245525,4619.956802769575,3356.538274509889
2024,asof_batter_n,253507,5402.548777745782,4011.240118787627
2019,asof_batter_success_rate,237013,0.5615411873310746,0.07053265319001044
2020,asof_batter_success_rate,243992,0.5500774304034559,0.04385521241830759
2021,asof_batter_success_rate,247000,0.5426712120080971,0.04241025318127874
2022,asof_batter_success_rate,247384,0.542488559442001,0.054353597657454365
2023,asof_batter_success_rate,245454,0.5256362465920293,0.04160315468206316
2024,asof_batter_success_rate,253419,0.517465941026916,0.037742943176212865
2019,asof_pitcher_n,237413,768.7283173204501,682.6831174717255
2020,asof_pitcher_n,244087,1714.6902293034861,1326.1452879955896
2021,asof_pitcher_n,247088,2369.1925670206565,1921.5391292121697
2022,asof_pitcher_n,247472,3194.707235566044,2636.8192865934952
2023,asof_pitcher_n,245525,3880.774377354648,3102.2969821264633
2024,asof_pitcher_n,253507,3928.214467450603,3555.967721333215
2019,asof_pitcher_pitchmix_n,237413,768.7283173204501,682.6831174717255
2020,asof_pitcher_pitchmix_n,244087,1714.6902293034861,1326.1452879955896
2021,asof_pitcher_pitchmix_n,247088,2369.1925670206565,1921.5391292121697
2022,asof_pitcher_pitchmix_n,247472,3194.707235566044,2636.8192865934952
2023,asof_pitcher_pitchmix_n,245525,3880.774377354648,3102.2969821264633
2024,asof_pitcher_pitchmix_n,253507,3928.214467450603,3555.967721333215
2019,asof_pitcher_prev3_game_success_rate,225135,0.5592232773136118,0.09492018144565041
2020,asof_pitcher_prev3_game_success_rate,240222,0.5358031685199524,0.08325798619086303
2021,asof_pitcher_prev3_game_success_rate,243347,0.5285812758324533,0.08793457635657043
2022,asof_pitcher_prev3_game_success_rate,244531,0.5263128369122934,0.09932567829924221
2023,asof_pitcher_prev3_game_success_rate,242803,0.5073527791172266,0.08657355275411245
2024,asof_pitcher_prev3_game_success_rate,249869,0.4894848324642113,0.08182388649698492
2019,asof_pitcher_success_rate,237058,0.5598205840781582,0.07990620670848292
2020,asof_pitcher_success_rate,243977,0.5472454404800453,0.05554511395937893
2021,asof_pitcher_success_rate,246993,0.5354592559432858,0.05392098551635463
2022,asof_pitcher_success_rate,247384,0.5354016476126184,0.05866029226443301
2023,asof_pitcher_success_rate,245462,0.5237304567228328,0.05273626356821767
2024,asof_pitcher_success_rate,253426,0.5113970221638663,0.054384907611552076
2019,home_win_expectancy,237413,51.48751753273831,29.93083794163355
2020,home_win_expectancy,244087,48.55419706907783,30.911894724213187
2021,home_win_expectancy,247088,50.215216036391894,30.414206860143217
2022,home_win_expectancy,247472,49.15505228874378,29.629617299508247
2023,home_win_expectancy,245525,51.455677018633544,29.64319893477374
2024,home_win_expectancy,253507,50.772572355004,30.909921430724914
2019,li,237413,0.9809893729492488,0.8726784025829286
2020,li,244087,0.947269866891723,0.8821985770804344
2021,li,247088,0.9779661092404326,0.8902951967942923
2022,li,247472,1.0060812536367751,0.9018653270179963
2023,li,245525,1.0177796151104774,0.9131454273598356
2024,li,253507,0.9612342854437944,0.8909507499225654
