feature,value,count,successes,success_rate,rate_minus_global,ci95_low_wald,ci95_high_wald
balls_before,0,652052,344002,0.5275683534442038,0.0038023781694412895,0.5263565733483782,0.5287801335400295
balls_before,1,444780,233928,0.5259409146094699,0.00217493933470736,0.5244734482239308,0.527408380995009
balls_before,2,254237,132402,0.5207817902193622,-0.0029841850554003235,0.518839870619758,0.5227237098189664
balls_before,3,124023,62271,0.5020923538375947,-0.02167362143716789,0.4993096232814956,0.5048750843936938
base_state,___,777248,406537,0.5230466980937873,-0.0007192771809751974,0.5219362853764663,0.5241571108111084
base_state,1__,293724,154280,0.5252550012937315,0.001489026018968942,0.5234490682200678,0.5270609343673952
base_state,12_,125831,65598,0.521318276100484,-0.0024476991742785614,0.5185580977460584,0.5240784544549095
base_state,_2_,113627,59639,0.5248664489953973,0.0011004737206347093,0.5219627769962091,0.5277701209945854
base_state,1_3,48839,25782,0.5278977866049673,0.004131811330204793,0.5234702146418443,0.5323253585680904
base_state,123,48408,24985,0.5161336969096018,-0.007632278365160783,0.5116818389682349,0.5205855548509686
base_state,__3,35513,19037,0.5360572184833723,0.012291243208609748,0.5308704104368567,0.5412440265298879
base_state,_23,31902,16745,0.5248887217102376,0.0011227464354750527,0.5194087488635921,0.5303686945568831
batter_hand,2,779345,410161,0.5262893840340286,0.0025234087592660437,0.525180821853375,0.5273979462146822
batter_hand,1,695747,362442,0.520939364452883,-0.002826610821879516,0.5197654965407968,0.5221132323649692
batter_history_n_bin,"1k-4,999",668765,348169,0.5206148647133149,-0.0031511105614476786,0.5194175181638054,0.5218122112628243
batter_history_n_bin,5k+,369478,184229,0.49861967424312137,-0.02514630103164117,0.49700743262147296,0.5002319158647698
batter_history_n_bin,200-999,312962,170112,0.5435548085710086,0.019788833296246033,0.5418096847115487,0.5452999324304685
batter_history_n_bin,50-199,86727,48738,0.5619703206613857,0.038204345386623206,0.5586682423536397,0.5652723989691318
batter_history_n_bin,10-49,29074,16709,0.5747059228176378,0.05093994754287523,0.5690230075328906,0.580388838102385
batter_history_n_bin,1-9,7256,4146,0.5713891951488423,0.0476232198740798,0.5600023083374722,0.5827760819602125
