season,pitch_type_group,rows,rel_speed_mean,rel_speed_std,spin_rate_mean,spin_rate_std,induced_vert_break_mean,induced_vert_break_std,horz_break_mean,horz_break_std,extension_mean,extension_std,rel_height_mean,rel_height_std,rel_side_mean,rel_side_std,zone_speed_mean,zone_speed_std
2019,breaking,66124,126.42864456728879,7.7544955753372085,2326.7829368871317,246.33791358592342,0.18094831095781783,19.500732393943743,-5.577640524817067,17.25449090559604,1.7346545277534104,0.14860103982781137,1.7078294328624581,0.26869181188947866,0.2593835498269307,0.5377531858684196,116.36216633745728,7.495728599184911
2019,fastball,147640,141.40643387752337,5.689370077749821,2241.992603294864,185.49366033675827,41.28139086519136,14.646232059463964,13.525541793148012,24.33928547900861,1.8374995681479471,0.14012931856368596,1.7079441065776997,0.25620774511605443,0.2502185351470302,0.5383082041356336,128.9855807194147,5.2448891012975665
2019,offspeed,37062,129.20573958333333,5.37340306484013,1598.6214317458591,349.1182528399869,23.902286010306295,13.892223552014539,14.048707219759514,28.785464838681428,1.7984239067897239,0.1434731264936468,1.726605790992012,0.19641971916382825,0.2331817787203962,0.5392674144686704,118.38657464378238,5.175163540321579
2019,other,5131,123.64064717591442,8.146393714648593,2180.854436767274,668.7058417793085,15.571255532843988,26.5956642450745,15.58287591304456,30.69828185088223,1.7323362958447373,0.1925028815127823,1.3645201037571535,0.556946228939065,0.4683188986514058,0.4891208339426219,112.79611983080369,7.641833094336965
2020,breaking,71353,126.8308962496321,7.847459585924815,2327.9870002572125,242.2936787009977,1.4181277616405759,19.57339269901942,-6.1363001993473505,16.10150349573965,1.7674544108166441,0.1488108198156316,1.7084411408490183,0.2440015812254447,0.2815853120734797,0.5109109347719449,117.10997104676748,7.657112157761988
2020,fastball,161244,141.46579265585075,5.660277177091115,2224.941697473986,173.0770078759341,41.32287991847288,14.968211714312051,15.770114800422194,24.083818519834743,1.863406485884746,0.14153349827538833,1.7001402490715933,0.25388578500845504,0.28642214188817566,0.5071449276431043,129.45255839783187,5.329989958762118
2020,offspeed,41436,128.85785493290857,5.099512840133775,1603.3672137042886,346.38155171051363,22.567940054028625,14.493823627677225,17.41521714525066,28.48625789492355,1.8477755285259194,0.14812319241527686,1.7184020609132156,0.1954248385961302,0.2755698683841587,0.5074832705263973,118.5726407326962,4.993798865573759
2020,other,5093,122.9452477552044,8.520367754642551,2195.8047271352984,623.8769436123933,16.736469303411084,24.184530758059466,14.145556062653624,29.42858713944356,1.7891994482066718,0.19859080029121928,1.3282279987459242,0.5631549880422327,0.4576499651868573,0.4548425746316986,112.6594467017808,8.08178479082623
2021,breaking,77686,126.79435304173208,7.4496048090178775,2342.241988515198,246.59434680751974,1.6012509174632428,19.709215854642288,-5.780111017763958,16.49772991055497,1.7753861507092652,0.14880542972786082,1.7186952257420898,0.25197334707478636,0.25513635107355254,0.5497645189259274,116.99396763515429,7.266508355043941
2021,fastball,172960,141.55923698543018,5.55751967302614,2233.354793663373,176.51331735933377,41.11074701238698,14.88974672588045,14.50780300530836,25.19557215009715,1.8784699585453284,0.14242808727415607,1.7152554821808512,0.24275475224976195,0.2670783394443808,0.5483886284726419,129.43260967590717,5.186806252114953
2021,offspeed,44735,129.01498387168883,4.829445802542559,1649.902703519957,362.6379986308167,21.868007227743668,15.288704404740768,17.713059990590825,29.476492678936534,1.8592752612048735,0.14835104447352268,1.7229418635967362,0.2120242504328959,0.2817749332039768,0.5410839909583841,118.63337094141325,4.7315808660007335
2021,other,5651,124.05232960798637,9.513325462724731,1995.440072074273,495.91422527258015,5.268547876333089,27.559801808986855,13.641981738845592,29.42932099632958,1.8375260822985147,0.1700548511333204,1.4252870426101776,0.4876277901095936,0.4824301245191137,0.47767177644408554,113.60314062500001,9.003782650825974
2022,breaking,91330,127.95747140370086,7.737628799757488,2321.3703582651733,254.12764232631278,-0.020666983136224386,21.514423117948233,-5.001386890056943,16.051355228149657,1.6347980588892295,0.148583384643861,1.6896919656410816,0.2820347138883412,0.26297624470601116,0.5439586616467867,118.07119130296728,7.515558850828542
2022,fastball,146843,143.9851881621868,4.459653976576901,2250.2688289815987,159.06327381842462,42.904474829385244,13.325530249494491,14.387060117693533,24.44709982580542,1.7409046362045129,0.13925481506804008,1.7458692517859211,0.18620531541910754,0.2523177981299628,0.5011446087731752,131.60282696212963,4.254494003956215
2022,offspeed,66499,131.39144607437706,5.796898003332085,1788.385939051715,398.03940636890195,20.77489025083461,16.78137734138873,21.512691840356098,31.44215625575958,1.7134618987246584,0.15220807508689574,1.6106768592460037,0.310598283635281,0.35739838880283914,0.5716421049423349,120.44993948179672,5.4179398353046855
2022,other,2965,136.58572199376948,9.516864061615344,2203.651125625,343.21564190203793,-7.5647625,27.369863246212223,1.3810333333333336,32.154020234025865,1.6544543535290446,0.15695283183602451,1.798788709034268,0.2518677104817281,0.4449567694704051,0.4894693476737193,123.20759046728972,8.388250961381976
2023,breaking,97815,128.12787621837143,7.465182708145578,2341.7218508495716,258.91957017789736,0.7885257501559098,20.27148271897987,-4.95435173340967,17.17727136081018,1.6247292759022591,0.1524627306315325,1.6884950625261976,0.2770774332902578,0.23241612347799417,0.5436126581870827,117.8409655860553,7.229042662162436
2023,fastball,146088,143.9314854190625,4.1823346628624325,2255.8111947920374,161.78465119811017,42.58230170243351,13.135808246640805,13.313351123660881,24.907389228271427,1.7353379025796203,0.14275713874649715,1.7385951931780843,0.19594263449046245,0.22095645894940036,0.5069585776827267,130.9958770364438,3.8605688314084188
2023,offspeed,69628,131.26901804159246,5.968716352162005,1776.5069593692103,394.71993735584573,19.547152352501865,16.003624358151956,21.641474880795084,31.516768590554133,1.7090198749748629,0.1493644100927881,1.6101040291118516,0.3085289108534778,0.3509644902050899,0.5421969757761904,119.9438805925777,5.524831607619035
2023,other,1569,134.65739132743363,11.53355390727888,2159.0779928825627,314.50818038348035,-6.665516,30.292063328551315,-0.8329179999999998,35.2476094752404,1.7112081527531082,0.14712600071335297,1.793405231858407,0.2473483474944357,0.5814014814159293,0.35774345551470904,122.38406814159292,10.226064635211486
