season,rows,reverse_coverage,reverse_rate,middle_coverage,middle_rate,outside_only_coverage,outside_only_rate,reverse_middle_coverage,reverse_middle_rate,fold
2019,237413,0.9981298412471095,0.1814752072095871,0.9981298412471095,0.12502479553222656,0.9981298412471095,0.15694880485534668,0.9981298412471095,0.027995223179459572,2022
2020,244087,0.9992011045242065,0.2092442512512207,0.9992011045242065,0.14817623794078827,0.9992011045242065,0.1418127715587616,0.9992011045242065,0.03189116343855858,2022
2021,247088,0.9980533251311273,0.24456726014614105,0.9980533251311273,0.1437591016292572,0.9980533251311273,0.11953837424516678,0.9980533251311273,0.04040031135082245,2022
2019,237413,0.9982351429786911,0.1814560741186142,0.9982351429786911,0.12502847611904144,0.9982351429786911,0.1569533348083496,0.9982351429786911,0.02799226902425289,2023
2020,244087,0.9992666549222203,0.20923872292041779,0.9992666549222203,0.1481788158416748,0.9992666549222203,0.14180757105350494,0.9992666549222203,0.03188907355070114,2023
2021,247088,0.999109628958104,0.24452339112758636,0.999109628958104,0.14372862875461578,0.999109628958104,0.11946060508489609,0.999109628958104,0.04039405658841133,2023
2022,247472,0.9980684683519752,0.23294493556022644,0.9980684683519752,0.14940038323402405,0.9980684683519752,0.12550507485866547,0.9980684683519752,0.03655959293246269,2023
2019,237413,0.9982477791864809,0.18145377933979034,0.9982477791864809,0.1250268965959549,0.9982477791864809,0.15695135295391083,0.9982477791864809,0.027991915121674538,2024
2020,244087,0.9992912363214755,0.20924587547779083,0.9992912363214755,0.14817927777767181,0.9992912363214755,0.1418081820011139,0.9992912363214755,0.031888287514448166,2024
2021,247088,0.9991946189211941,0.24451878666877747,0.9991946189211941,0.14372855424880981,0.9991946189211941,0.11945448815822601,0.9991946189211941,0.04039467126131058,2024
2022,247472,0.9992362772354044,0.2327859103679657,0.9992362772354044,0.14948460459709167,0.9992362772354044,0.12541095912456512,0.9992362772354044,0.036533042788505554,2024
2023,245525,0.9981875572752266,0.25586339831352234,0.9981875572752266,0.15328872203826904,0.9981875572752266,0.12514281272888184,0.9981875572752266,0.03422556072473526,2024
2019,237413,0.9982477791864809,0.18145377933979034,0.9982477791864809,0.1250268965959549,0.9982477791864809,0.15695135295391083,0.9982477791864809,0.027991915121674538,final
2020,244087,0.9992994301212272,0.20924825966358185,0.9992994301212272,0.14818215370178223,0.9992994301212272,0.14180701971054077,0.9992994301212272,0.03189212828874588,final
2021,247088,0.9992957974486822,0.24449403584003448,0.9992957974486822,0.1437382996082306,0.9992957974486822,0.11944644898176193,0.9992957974486822,0.040390580892562866,final
2022,247472,0.9993170944591712,0.23277921974658966,0.9993170944591712,0.14949676394462585,0.9993170944591712,0.1254008263349533,0.9993170944591712,0.036530084908008575,final
2023,245525,0.9992587312900927,0.25582143664360046,0.9992587312900927,0.1533159762620926,0.9992587312900927,0.12510240077972412,0.9992587312900927,0.034221477806568146,final
2024,253507,0.9981381184740461,0.24800126254558563,0.9981381184740461,0.176291823387146,0.9981381184740461,0.1229434683918953,0.9981381184740461,0.033307645469903946,final
